p,za,theta,n_ext,seed,T,A,R
0.034,114.3,73.0,1.0,13,0.002049,0.000257,0.997694
0.034,114.3,73.0,1.0,29,0.000216,0.000258,0.999526
0.034,114.3,73.0,1.0,53,0.003088,0.00027,0.996643
0.034,114.3,74.0,1.0,13,0.001769,0.00024,0.997991
0.034,114.3,74.0,1.0,29,0.000201,0.000243,0.999556
0.034,114.3,74.0,1.0,53,0.002777,0.000252,0.996971
0.034,114.3,75.0,1.0,13,0.001701,0.000225,0.998074
0.034,114.3,75.0,1.0,29,0.000189,0.000228,0.999583
0.034,114.3,75.0,1.0,53,0.002801,0.000237,0.996962
0.034,114.3,76.0,1.0,13,0.001747,0.000211,0.998042
0.034,114.3,76.0,1.0,29,0.000176,0.000213,0.999611
0.034,114.3,76.0,1.0,53,0.002974,0.000223,0.996803
0.034,114.3,77.0,1.0,13,0.001504,0.000197,0.998299
0.034,114.3,77.0,1.0,29,0.000162,0.000198,0.99964
0.034,114.3,77.0,1.0,53,0.002597,0.000209,0.997193
0.034,114.3,78.0,1.0,13,0.001523,0.000183,0.998294
0.034,114.3,78.0,1.0,29,0.000149,0.000183,0.999668
0.034,114.3,78.0,1.0,53,0.002783,0.000195,0.997021
0.034,114.3,79.0,1.0,13,0.001349,0.000167,0.998484
0.034,114.3,79.0,1.0,29,0.000138,0.000168,0.999694
0.034,114.3,79.0,1.0,53,0.002562,0.000178,0.99726
0.034,114.3,80.0,1.0,13,0.001127,0.000147,0.998726
0.034,114.3,80.0,1.0,29,0.000117,0.000153,0.99973
0.034,114.3,80.0,1.0,53,0.002189,0.000156,0.997655
0.034,114.3,81.0,1.0,13,0.000993,0.000127,0.99888
0.034,114.3,81.0,1.0,29,0.000105,0.000138,0.999757
0.034,114.3,81.0,1.0,53,0.001954,0.000134,0.997912
0.034,114.3,82.0,1.0,13,0.000904,0.000111,0.998985
0.034,114.3,82.0,1.0,29,9.4e-05,0.000123,0.999783
0.034,114.3,82.0,1.0,53,0.001829,0.000118,0.998053
0.034,114.3,83.0,1.0,13,0.000847,9.8e-05,0.999055
0.034,114.3,83.0,1.0,29,8.4e-05,0.000107,0.999809
0.034,114.3,83.0,1.0,53,0.001733,0.000105,0.998163
