p,za,theta,n_ext,seed,T,A,R
0.206,52.9,83.0,1.0,67,0.01103,0.012178,0.976793
0.206,52.9,84.0,1.0,67,0.015668,0.017283,0.967049
0.206,52.9,66.0,1.33,67,0.079771,0.060463,0.859766
0.206,52.9,67.0,1.33,67,0.093797,0.066389,0.839814
0.206,52.9,68.0,1.33,67,0.094485,0.074204,0.831311
0.206,52.9,69.0,1.33,67,0.09802,0.075029,0.826951
0.206,52.9,70.0,1.33,67,0.101106,0.079848,0.819046
0.206,52.9,71.0,1.33,67,0.112718,0.085098,0.802184
0.206,52.9,72.0,1.33,67,0.119771,0.092442,0.787787
0.206,52.9,73.0,1.33,67,0.114474,0.092698,0.792828
0.206,52.9,74.0,1.33,67,0.109534,0.091385,0.799081
0.206,52.9,75.0,1.33,67,0.103461,0.088104,0.808436
0.206,52.9,76.0,1.33,67,0.104624,0.09029,0.805086
0.206,52.9,77.0,1.33,67,0.119967,0.104818,0.775215
0.206,52.9,78.0,1.33,67,0.144418,0.12995,0.725631
0.206,52.9,79.0,1.33,67,0.163399,0.145908,0.690693
0.206,52.9,80.0,1.33,67,0.14458,0.130431,0.724988
0.206,52.9,81.0,1.33,67,0.098535,0.089444,0.812021
0.206,52.9,82.0,1.33,67,0.068038,0.061646,0.870316
0.206,52.9,83.0,1.33,67,0.074805,0.067136,0.858059
0.206,52.9,84.0,1.33,67,0.163386,0.144779,0.691835
